director_id,director_id
76422,293911
56212,1072562
258,178460
107765,146836
5953,107765
14405,107765
35770,935049
7499,90574
4339,6159
1193508,1385031
147540,1385031
1146,3776
569,1146
564,1146
1146,7036
1146,8297
1128,1146
1146,2632
1146,6163
488,16848
11770,16848
3776,1151402
30309,1151402
76242,78061
76242,78064
19303,76242
3776,30309
4784,16938
1035,16938
16938,18897
16483,16938
16938,1230252
16938,88857
16938,63713
1032,3776
3776,39104
3776,5970
3776,27436
3776,130030
3776,6431
1884,3776
3776,15488
3776,9888
3776,51918
564,3776
3776,15254
3776,78160
3776,4429
1035,3776
3776,56205
1150,3776
3776,5655
3776,119294
224,3776
3776,14597
3776,93911
3776,15175
2303,3776
3776,12180
3776,105866
3776,39012
68,3776
3776,40312
3776,4762
834,3776
3776,30715
1152,3776
3776,21113
1650,3776
3776,58728
3776,76624
3776,67717
1776,3776
3776,5602
40864,110283
17087,110283
11701,1562178
1461,1562178
21411,1562178
6340,111588
3064,111588
455,3776
38673,131874
455,1157604
190,455
455,2636
73875,89847
488,865
865,3061
865,880
865,40256
865,3416
865,19119
865,879
865,893
865,7270
865,54697
3556,56401
34517,1008441
42,131459
56212,98882
56212,121798
578,1140238
17087,123991
98882,1322394
131459,1322394
11401,1322394
16848,59291
2675,59291
2127,59291
57581,59291
16847,59291
2128,59291
5140,59291
59290,59291
2978,59291
123990,123991
123990,123997
3556,43553
3087,43553
22461,43553
366,488
366,11701
366,16483
366,15218
366,5344
366,9033
366,934
366,2199
19274,568322
54734,568322
1024823,1245730
185438,1024823
1024823,1245726
81597,1024823
488,231705
190,72757
488,72757
36425,72757
15175,72757
138,72757
4483,72757
19003,19006
11181,25598
11694,25598
7017,25598
25598,43141
608,25598
31,25598
510,929825
51864,929825
6884,929825
929825,1668714
14386,929825
1896,929825
42138,929825
9788,929825
35013,929825
190,3776
190,25598
190,488
190,59315
190,1243
190,4385
190,5281
190,11701
190,4135
190,2461
190,648
190,2176
31,190
190,2228
190,21007
190,4746
12098,155267
229482,567120
3905,567120
10828,93223
7499,19152
19152,66605
569,15335
11401,15335
7623,134604
42712,134604
66074,134604
40863,98631
40863,59315
40863,45419
40863,45407
5656,40863
40863,40864
42,40863
40863,45400
40863,139135
17697,437833
239574,437833
35550,437833
6384,239571
91268,1413704
57755,91268
44735,91268
56661,81856
59291,100734
1035,56661
2127,100734
24045,56661
8654,100734
19274,56661
56661,1061773
11181,1046132
172,1046132
4723,25598
190,4723
508,4723
25527,31155
25527,133793
25527,46076
10491,1461114
190,1032
39,1032
488,1032
1032,2226
1032,20907
1032,59315
1032,1243
1032,102445
1032,105435
1032,9888
1032,8246
1032,3110
1032,1038
1032,1769
1032,5281
1032,1614
1032,10828
1032,33349
525,1032
